id,pop,domain,Brazil
Sé,3513,BRA,209346619
Parque Dom Pedro,4142,BRA,209346619
Praça João Mendes,16177,BRA,209346619
Ladeira da Memória,24406,BRA,209346619
República,14734,BRA,209346619
Santa Ifigênia,21685,BRA,209346619
Luz,12876,BRA,209346619
Bom Retiro,11586,BRA,209346619
Ponte Pequena,7786,BRA,209346619
Canindé,2385,BRA,209346619
Bom Jardim,4240,BRA,209346619
Pari,10734,BRA,209346619
João Teodoro,790,BRA,209346619
Oriente,1659,BRA,209346619
Bresser,8384,BRA,209346619
Brás,19400,BRA,209346619
Gasômetro,8517,BRA,209346619
Independência,26014,BRA,209346619
Cambuci,19149,BRA,209346619
Glicério,24085,BRA,209346619
Aclimação,16299,BRA,209346619
Pires da Mota,11134,BRA,209346619
Centro Cultural,4061,BRA,209346619
Liberdade,10477,BRA,209346619
Treze de Maio,16336,BRA,209346619
Bexiga,11537,BRA,209346619
Bela Vista,15041,BRA,209346619
São Carlos do Pinhal,7211,BRA,209346619
Masp,9899,BRA,209346619
Higienópolis,16380,BRA,209346619
Vila Buarque,21794,BRA,209346619
Consolação,7161,BRA,209346619
Pacaembu,1501,BRA,209346619
FAAP,6308,BRA,209346619
Santa Cecília,34998,BRA,209346619
Marechal Deodoro,38425,BRA,209346619
Rudge,8821,BRA,209346619
Catumbi,5390,BRA,209346619
Belém,12896,BRA,209346619
Quarta Parada,8011,BRA,209346619
Belenzinho,22745,BRA,209346619
Celso Garcia,6743,BRA,209346619
Mooca,31316,BRA,209346619
Alto da Mooca,16539,BRA,209346619
Parque da Mooca,33025,BRA,209346619
Água Rasa,36213,BRA,209346619
Vila Bertioga,25374,BRA,209346619
Regente Feijó,24201,BRA,209346619
Ana Rosa,14480,BRA,209346619
Jardim da Glória,9330,BRA,209346619
Chácara Klabin,15500,BRA,209346619
Vila Mariana,9310,BRA,209346619
Santa Cruz,13715,BRA,209346619
Vila Clementino,8240,BRA,209346619
França Pinto,15086,BRA,209346619
Rodrigues Alves,19948,BRA,209346619
Paraíso,21677,BRA,209346619
Bosque da Saúde,33495,BRA,209346619
Saúde,48906,BRA,209346619
Planalto Paulista,20173,BRA,209346619
Mirandópolis,25895,BRA,209346619
Parque Ibirapuera,4819,BRA,209346619
Jardim Luzitânia,2000,BRA,209346619
Moema,30321,BRA,209346619
Vila Helena,25675,BRA,209346619
Bandeirantes,10389,BRA,209346619
Vila Nova Conceição,8695,BRA,209346619
Chácara Itaim,25206,BRA,209346619
Vila Olímpia,10394,BRA,209346619
Hélio Pelegrino,13047,BRA,209346619
Brooklin,30542,BRA,209346619
Vila Cordeiro,12859,BRA,209346619
Berrini,9404,BRA,209346619
Campinas,11245,BRA,209346619
Pamplona,12918,BRA,209346619
Jardins,9025,BRA,209346619
Clínicas,21791,BRA,209346619
Oscar Freire,17559,BRA,209346619
Trianon,9321,BRA,209346619
Jardim Paulistano,18612,BRA,209346619
Jardim Europa,11624,BRA,209346619
Pinheiros,12097,BRA,209346619
Vila Madalena,22812,BRA,209346619
PUC,16293,BRA,209346619
Cardoso de Almeida,4187,BRA,209346619
Zequinha de Abreu,2958,BRA,209346619
Sumaré,16343,BRA,209346619
Perdizes,38183,BRA,209346619
Vila Anglo Brasileira,12026,BRA,209346619
Pompéia,12401,BRA,209346619
Santa Marina,13993,BRA,209346619
Barra Funda,3401,BRA,209346619
Francisco Matarazzo,10101,BRA,209346619
Água Branca,5941,BRA,209346619
Vila Beatriz,15974,BRA,209346619
Alto de Pinheiros,6270,BRA,209346619
Boaçava,15115,BRA,209346619
Vila Anastácio,8618,BRA,209346619
Lapa de Baixo,8535,BRA,209346619
Lapa,23133,BRA,209346619
Vila Ipojuca,21042,BRA,209346619
Alto da Lapa,11763,BRA,209346619
Gavião Peixoto,2442,BRA,209346619
Bela Aliança,6234,BRA,209346619
Vila Hamburguesa,12180,BRA,209346619
CEASA,7340,BRA,209346619
Vila Leopoldina,15964,BRA,209346619
Emissário,5157,BRA,209346619
Vila Zatt,116427,BRA,209346619
Pirituba,62977,BRA,209346619
São Domingos,49989,BRA,209346619
Jardim Mutinga,38895,BRA,209346619
Vila Jaguara,24730,BRA,209346619
Parque do Jaraguá,65,BRA,209346619
Nova Jaraguá,50699,BRA,209346619
Parada de Taipas,160853,BRA,209346619
Parque Morro Doce,60480,BRA,209346619
Anhanguera,14880,BRA,209346619
Perus,87716,BRA,209346619
Vista Alegre,0,BRA,209346619
Jardim Damasceno,80353,BRA,209346619
Vila Souza,46084,BRA,209346619
Vila Terezinha,61111,BRA,209346619
Brasilândia,55160,BRA,209346619
Vila Morro Grande,51578,BRA,209346619
Itaberaba,33463,BRA,209346619
Freguesia do Ó,53084,BRA,209346619
Carandiru,1057,BRA,209346619
Santana,4674,BRA,209346619
Zaki Narchi,5428,BRA,209346619
Tietê,1493,BRA,209346619
Parque Anhembi,1758,BRA,209346619
Alfredo Pujol,37229,BRA,209346619
Santa Terezinha,30780,BRA,209346619
Jardim São Paulo,33816,BRA,209346619
Casa Verde,31316,BRA,209346619
Parque Peruche,49220,BRA,209346619
Limão,11622,BRA,209346619
Jardim Primavera,26314,BRA,209346619
Vila Santa Maria,44437,BRA,209346619
Cachoeirinha,80725,BRA,209346619
Jardim Peri,62641,BRA,209346619
Reserva da Cantareira,0,BRA,209346619
Mandaqui,95319,BRA,209346619
Horto Florestal,7800,BRA,209346619
ETA Guaraú,0,BRA,209346619
